,0
0,Ohio
1,New Mexico
2,Maryland
3,Hawaii
4,Illinois
5,Rhode Island
6,Kentucky
7,Washington
8,Nebraska
9,Minnesota
10,Georgia
11,Alaska
12,Idaho
13,Massachusetts
14,New Hampshire
15,Maine
16,Mississippi
17,North Carolina
18,Oklahoma
19,South Dakota
20,Indiana
21,New York
22,West Virginia
23,Wisconsin
24,Virginia
25,Utah
26,New Jersey
27,Florida
28,Missouri
29,Kansas
30,Nevada
31,Montana
32,Alabama
33,Arkansas
34,Delaware
35,Louisiana
36,Vermont
37,South Carolina
38,Oregon
39,Wyoming
40,Pennsylvania
41,Tennessee
42,Iowa
43,Michigan
44,Texas
45,North Dakota
